order_id,order_date,customer_id,customer_segment,region,country,sales_channel,campaign,product_category,product_name,sku,units,unit_price_usd,discount_pct,gross_revenue_usd,discount_amount_usd,refund_amount_usd,shipping_cost_usd,cogs_usd,net_revenue_usd,gross_margin_usd,fulfillment_days,status,first_order
ord_0000001,2025-01-01,cust_03357,Occasional,North America,United States,Affiliate,Publisher Network,Apparel,Everyday Sneaker,APP-010,1,106.21,0.15,106.21,15.93,0,11.89,47.79,90.27,30.59,5,Delivered,True
ord_0000002,2025-01-01,cust_05080,Occasional,EMEA,Germany,Affiliate,Publisher Network,Beauty,Daily Skin Set,BEA-007,1,93.5,0.05,93.5,4.67,0,13.71,35.53,88.82,39.58,7,Delivered,True
ord_0000003,2025-01-03,cust_05311,Loyal,EMEA,United Kingdom,Direct,Referral,Beauty,Daily Skin Set,BEA-007,1,85.66,0.15,85.66,12.85,0,5.64,32.55,72.81,34.62,5,Delivered,True
ord_0000004,2025-01-04,cust_05414,Loyal,APAC,Japan,Direct,Email Lifecycle,Fitness,Recovery Roller,FIT-006,2,57.13,0,114.26,0.0,0,6.43,46.85,114.26,60.98,6,Delivered,True
ord_0000005,2025-01-04,cust_05410,Occasional,North America,United States,Paid Search,Nonbrand Search,Apparel,Everyday Sneaker,APP-010,3,107.71,0,323.14,0.0,0,0,145.41,323.14,177.73,3,Delivered,True
ord_0000006,2025-01-03,cust_05638,Occasional,North America,United States,Paid Search,Shopping Ads,Apparel,Performance Jacket,APP-009,2,169.17,0.2,338.35,67.67,0,0,159.02,270.68,111.65,4,Delivered,True
ord_0000007,2025-01-01,cust_01324,New,North America,United States,Social,Creator Program,Apparel,Performance Jacket,APP-009,2,180.18,0.05,360.37,18.02,0,0,169.37,342.35,172.98,2,Delivered,True
ord_0000008,2025-01-01,cust_01688,Loyal,APAC,Japan,Paid Search,Nonbrand Search,Apparel,Performance Jacket,APP-009,2,176.44,0,352.89,0.0,0,0,165.86,352.89,187.03,5,Delivered,True
ord_0000009,2025-01-01,cust_01023,Occasional,EMEA,United Kingdom,Marketplace,Marketplace Featured,Apparel,Performance Jacket,APP-009,1,161.13,0.2,161.13,32.23,0,0,75.73,128.91,53.17,5,Delivered,True
ord_0000010,2025-01-01,cust_05521,Occasional,EMEA,Germany,Direct,,Electronics,Wireless Headphones,ELE-001,1,139.2,0.05,139.2,6.96,0,12.69,75.17,132.24,44.38,4,Delivered,True
ord_0000011,2025-01-04,cust_06948,VIP,APAC,Australia,Marketplace,Marketplace Featured,Fitness,Recovery Roller,FIT-006,1,59.71,0.1,59.71,5.97,0,0,24.48,53.74,29.26,5,Delivered,True
ord_0000012,2025-01-05,cust_04409,Loyal,EMEA,Germany,Paid Search,Nonbrand Search,Apparel,Performance Jacket,APP-009,1,154.13,0,154.13,0.0,0,0,72.44,154.13,81.69,6,Delivered,True
ord_0000013,2025-01-09,cust_02916,Loyal,EMEA,United Kingdom,Direct,Referral,Apparel,Everyday Sneaker,APP-010,1,104.85,0.15,104.85,15.73,0,8.14,47.18,89.12,33.8,10,Delivered,True
ord_0000014,2025-01-03,cust_07127,Occasional,EMEA,Germany,Marketplace,Marketplace Featured,Apparel,Everyday Sneaker,APP-010,1,108.82,0.15,108.82,16.32,81.74,8.8,48.97,10.76,-47.01,5,Returned,True
ord_0000015,2025-01-01,cust_02553,Occasional,EMEA,France,Direct,Referral,Home,Ceramic Cookware,HOM-004,2,222.73,0.2,445.46,89.09,0,0,218.27,356.36,138.09,5,Delivered,True
ord_0000016,2025-01-01,cust_06824,New,APAC,Japan,Marketplace,,Apparel,Performance Jacket,APP-009,1,178.09,0.15,178.09,26.71,0,0,83.7,151.37,67.67,6,Delivered,True
ord_0000017,2025-01-04,cust_00955,New,North America,United States,Marketplace,Marketplace Featured,Home,Ceramic Cookware,HOM-004,1,216.77,0.15,216.77,32.52,0,0,106.22,184.25,78.04,6,Delivered,True
ord_0000018,2025-01-12,cust_06693,New,EMEA,Germany,Social,Prospecting,Apparel,Performance Jacket,APP-009,1,175.97,0.15,175.97,26.4,0,0,82.71,149.58,66.87,5,Delivered,True
ord_0000019,2025-01-01,cust_01550,Occasional,North America,Canada,Affiliate,Publisher Network,Apparel,Performance Jacket,APP-009,1,156.85,0,156.85,0.0,0,0,73.72,156.85,83.13,4,Delivered,True
ord_0000020,2025-01-01,cust_03372,New,Latin America,Brazil,Direct,Referral,Fitness,Recovery Roller,FIT-006,1,59.2,0.05,59.2,2.96,0,10.57,24.27,56.24,21.4,6,Delivered,True
ord_0000021,2025-01-06,cust_02506,Occasional,APAC,Australia,Paid Search,Nonbrand Search,Home,Linen Sheet Set,HOM-003,1,127.13,0.2,127.13,25.43,101.71,8.69,58.48,0.0,-67.17,6,Refunded,True
ord_0000022,2025-01-01,cust_06324,Loyal,EMEA,United Kingdom,Marketplace,Marketplace Featured,Electronics,Wireless Headphones,ELE-001,1,141.13,0.05,141.13,7.06,0,8.03,76.21,134.07,49.83,7,Delivered,True
ord_0000023,2025-01-03,cust_03525,Occasional,EMEA,Germany,Marketplace,,Home,Linen Sheet Set,HOM-003,1,124.12,0.05,124.12,6.21,0,10.09,57.09,117.91,50.73,6,Delivered,True
ord_0000024,2025-01-09,cust_04543,Loyal,North America,United States,Paid Search,Shopping Ads,Beauty,Hair Styling Kit,BEA-008,1,147.24,0.1,147.24,14.72,0,8.58,64.79,132.52,59.15,5,Delivered,True
