week_start,account_id,plan,region,industry,acquisition_channel,account_age_weeks,seats,weekly_active_users,invited_users,sessions,core_actions,feature_a_users,feature_b_users,activation_rate,retention_rate_4w,nps_score,mrr_usd,expansion_mrr_usd,support_tickets,churned
2026-01-05,acct_00001,Growth,EMEA,Professional Services,Organic,51,68,55,65,389,830,38,29,0.5154,0.7145,,922.65,2.03,1,False
2026-01-05,acct_00002,Growth,EMEA,Healthcare,Outbound,128,34,26,31,97,145,18,14,0.5161,0.6844,,760.95,13.98,2,False
2026-01-05,acct_00003,Free,APAC,Retail,Outbound,160,3,0,2,0,0,0,0,0,0.3925,,0,0,2,False
2026-01-05,acct_00004,Starter,APAC,Software,Paid Search,19,14,9,13,35,51,7,5,0.4615,0.7217,,155.21,0,2,False
2026-01-05,acct_00005,Starter,North America,Manufacturing,Paid Search,177,11,8,8,57,71,4,3,0.4375,0.6078,,145.9,3.16,2,False
2026-01-05,acct_00006,Growth,APAC,Healthcare,Organic,102,26,18,22,91,255,11,9,0.4545,0.6579,,722.9,0,2,False
2026-01-05,acct_00007,Growth,North America,Professional Services,Organic,34,43,34,42,227,571,23,18,0.4881,0.7564,,803.76,3.4,1,False
2026-01-05,acct_00008,Growth,Latin America,Financial Services,Organic,38,32,17,20,82,111,7,5,0.3,0.38,,751.44,28.24,2,False
2026-01-05,acct_00009,Free,North America,Software,Content,122,3,0,2,0,0,0,0,0,0.424,,0,0,3,False
2026-01-05,acct_00010,Growth,EMEA,Healthcare,Outbound,141,34,25,32,120,226,17,13,0.4688,0.6778,,760.95,13.37,1,False
2026-01-05,acct_00011,Enterprise,EMEA,Financial Services,Organic,127,101,52,69,336,611,24,16,0.2899,0.422,,3739.17,0,4,False
2026-01-05,acct_00012,Free,EMEA,Software,Organic,95,3,3,3,15,19,1,1,0.3333,0.4823,,0,0,2,False
2026-01-05,acct_00013,Starter,North America,Software,Organic,6,9,3,6,12,12,1,1,0.1667,0.4863,,139.69,3.06,2,False
2026-01-05,acct_00014,Free,North America,Retail,Content,61,2,1,1,3,3,0,0,0,0.344,,0,0,2,False
2026-01-05,acct_00015,Growth,APAC,Professional Services,Outbound,24,32,28,32,212,351,20,15,0.5469,0.7269,,751.44,0,2,False
2026-01-05,acct_00016,Growth,Latin America,Manufacturing,Content,4,50,41,45,164,619,31,24,0.6111,0.7899,,837.05,17.03,2,False
2026-01-05,acct_00017,Enterprise,North America,Software,Paid Search,81,67,52,67,164,475,35,27,0.4627,0.6661,,3540.83,48.9,3,False
2026-01-05,acct_00018,Growth,North America,Software,Outbound,89,102,97,102,598,3074,85,69,0.7549,0.862,,1084.36,3.8,5,False
2026-01-05,acct_00019,Free,APAC,Healthcare,Content,121,2,2,2,7,10,1,1,0.5,0.5211,,0,0,2,False
2026-01-05,acct_00020,Starter,North America,Professional Services,Organic,150,8,4,5,28,51,2,1,0.3,0.5566,,136.58,0.05,3,False
2026-01-05,acct_00021,Starter,APAC,Retail,Outbound,155,9,5,6,24,52,2,2,0.3333,0.5788,,139.69,2.71,1,False
2026-01-05,acct_00022,Starter,North America,Healthcare,Content,86,20,9,15,49,146,4,3,0.2333,0.5009,,173.83,0,2,False
2026-01-05,acct_00023,Free,EMEA,Financial Services,Outbound,176,2,0,2,0,0,0,0,0,0.5459,,0,0,1,False
2026-01-05,acct_00024,Enterprise,APAC,Software,Outbound,74,130,95,122,584,1622,62,46,0.4426,0.6566,,3908.33,58.47,4,False
2026-01-05,acct_00025,Free,EMEA,Software,Partner,73,4,3,3,12,19,1,1,0.3333,0.4305,,0,0,2,False
2026-01-05,acct_00026,Enterprise,APAC,Financial Services,Outbound,160,132,132,132,472,2609,120,99,0.8295,1,,3920.0,0,3,False
2026-01-05,acct_00027,Free,North America,Manufacturing,Organic,89,13,4,4,25,21,1,0,0.125,0.2275,,0,0,4,False
2026-01-05,acct_00028,Free,EMEA,Software,Organic,39,3,3,3,11,33,1,1,0.3333,0.4929,,0,0,2,False
2026-01-05,acct_00029,Starter,Latin America,Retail,Outbound,115,11,3,7,20,54,1,1,0.1429,0.533,,145.9,0,2,False
2026-01-05,acct_00030,Starter,APAC,Manufacturing,Outbound,33,10,10,10,28,60,7,6,0.65,0.7119,,142.79,1.71,1,False
2026-01-05,acct_00031,Free,EMEA,Retail,Content,139,4,4,4,16,44,2,1,0.375,0.527,,0,0,1,False
2026-01-05,acct_00032,Starter,EMEA,Software,Organic,40,16,7,12,46,70,4,2,0.25,0.5445,,161.42,1.47,1,False
2026-01-05,acct_00033,Growth,EMEA,Retail,Content,96,41,36,39,120,346,28,22,0.641,0.8297,,794.24,4.64,2,False
2026-01-05,acct_00034,Enterprise,APAC,Retail,Organic,41,113,105,113,676,2549,86,69,0.6858,0.8695,,3809.17,0,4,False
2026-01-05,acct_00035,Free,APAC,Retail,Organic,159,4,1,3,6,14,0,0,0,0.4675,,0,0,1,False
2026-01-05,acct_00036,Free,North America,Software,Content,17,10,4,7,28,39,2,2,0.2857,0.5635,,0,0,2,False
2026-01-05,acct_00037,Free,EMEA,Software,Organic,68,3,1,2,5,16,1,0,0.25,0.6011,,0,0,1,False
2026-01-05,acct_00038,Free,North America,Financial Services,Content,179,4,2,3,14,54,1,1,0.3333,0.6713,,0,0,1,False
2026-01-05,acct_00039,Starter,North America,Retail,Organic,163,13,9,11,65,138,5,4,0.4091,0.58,,152.1,2.04,2,False
2026-01-05,acct_00040,Growth,North America,Financial Services,Organic,70,62,45,62,272,1034,30,23,0.4274,0.6517,,894.12,1.6,5,False
2026-01-05,acct_00041,Growth,EMEA,Professional Services,Content,20,54,38,38,251,419,21,14,0.4605,0.5484,,856.07,8.18,5,False
2026-01-05,acct_00042,Growth,EMEA,Financial Services,Paid Search,77,23,18,23,55,94,13,10,0.5,0.7665,,708.64,0,1,False
