ticket_id,created_date,resolved_date,account_id,plan,region,channel,issue_type,priority,assigned_team,status,first_response_minutes,resolution_hours,sla_target_hours,sla_breached,csat_score,reopened,escalated,message_count,customer_arr_usd,customer_tenure_days,sentiment_score
tkt_0000001,2025-07-03,2025-07-04,acct_04077,Free,EMEA,Chat,Account Access,Normal,Account Support,Resolved,39,10.18,36,False,,False,False,6,0,1044,0.488
tkt_0000002,2025-07-01,2025-07-02,acct_00895,Free,Latin America,Email,How To,Normal,Customer Education,Resolved,21,18.84,36,False,,False,False,4,0,561,-0.262
tkt_0000003,2025-07-01,2025-07-02,acct_03442,Enterprise,EMEA,In App,How To,Low,Customer Education,Resolved,6,1.47,72,False,5,False,False,8,90967.3,130,0.641
tkt_0000004,2025-07-04,2025-07-05,acct_02416,Growth,EMEA,Email,Bug,Low,Product Support,Resolved,130,6.2,72,False,4.7,False,False,5,16171.61,288,0.58
tkt_0000005,2025-07-01,2025-07-02,acct_02076,Growth,North America,In App,How To,Urgent,Customer Education,Resolved,14,5.13,4,True,,False,False,6,8172.81,400,0.391
tkt_0000006,2025-07-01,2025-07-03,acct_00615,Free,EMEA,Email,Bug,Low,Product Support,Resolved,103,30.73,72,False,5,False,False,4,0,1378,0.572
tkt_0000007,2025-07-02,2025-07-03,acct_03662,Enterprise,North America,Email,Account Access,Normal,Account Support,Resolved,84,2.35,36,False,,False,False,4,99690.02,1444,0.583
tkt_0000008,2025-07-01,2025-07-02,acct_03130,Starter,North America,Email,How To,Normal,Customer Education,Resolved,30,2.28,36,False,5,False,False,8,861.29,1111,0.311
tkt_0000009,2025-07-01,2025-07-02,acct_03231,Enterprise,North America,Email,Performance,High,Technical Support,Resolved,35,8.65,12,False,4.5,False,False,5,115070.48,1582,0.588
tkt_0000010,2025-07-03,2025-07-04,acct_04062,Free,APAC,Phone,Billing,Normal,Billing Operations,Resolved,16,10.35,36,False,4.5,False,False,5,0,1699,0.475
tkt_0000011,2025-07-01,2025-07-02,acct_03154,Free,EMEA,In App,Bug,Normal,Product Support,Resolved,345,12.41,36,False,,False,False,7,0,1358,0.718
tkt_0000012,2025-07-04,2025-07-05,acct_01567,Starter,EMEA,Email,Billing,Low,Billing Operations,Resolved,70,8.63,72,False,4.7,False,False,4,1669.33,158,0.373
tkt_0000013,2025-07-02,2025-07-03,acct_00821,Free,North America,Email,Billing,Normal,Billing Operations,Resolved,31,10.01,36,False,,False,False,6,0,1686,0.525
tkt_0000014,2025-07-02,2025-07-03,acct_02449,Free,EMEA,Email,How To,Low,Customer Education,Resolved,39,6.43,72,False,,False,False,10,0,990,0.311
tkt_0000015,2025-07-01,2025-07-02,acct_01144,Growth,APAC,Email,How To,Normal,Customer Education,Resolved,16,17.6,36,False,4.8,False,False,7,11836.81,872,0.239
tkt_0000016,2025-07-01,2025-07-02,acct_01771,Starter,APAC,Email,Billing,Normal,Billing Operations,Resolved,28,3.78,36,False,4.0,False,False,10,1344.38,1657,-0.206
tkt_0000017,2025-07-01,2025-07-02,acct_02456,Growth,North America,Email,Integration,Normal,Technical Support,Resolved,15,5.66,36,False,5,True,True,9,7630.29,1362,-0.088
tkt_0000018,2025-07-02,2025-07-03,acct_00946,Enterprise,North America,Email,Bug,Low,Product Support,Resolved,35,23.74,72,False,4.6,False,False,10,59015.39,733,0.194
tkt_0000019,2025-07-05,2025-07-06,acct_01889,Free,North America,Email,Integration,Low,Technical Support,Resolved,47,10.89,72,False,5,False,False,7,0,868,0.512
tkt_0000020,2025-07-01,2025-07-03,acct_02675,Free,EMEA,Email,Integration,Urgent,Technical Support,Resolved,40,36.5,4,True,,False,False,6,0,690,-0.148
tkt_0000021,2025-07-02,2025-07-03,acct_00962,Growth,Latin America,Chat,Bug,High,Product Support,Resolved,46,21.47,12,True,4.6,False,False,8,5506.57,711,0.038
tkt_0000022,2025-07-01,2025-07-02,acct_02485,Growth,EMEA,Email,How To,Normal,Customer Education,Resolved,51,3.22,36,False,4.8,False,False,6,12684.95,760,0.477
tkt_0000023,2025-07-01,2025-07-02,acct_00752,Enterprise,North America,Email,Bug,Normal,Product Support,Resolved,26,3.98,36,False,,False,False,8,63636.14,976,0.535
tkt_0000024,2025-07-01,2025-07-03,acct_01436,Free,EMEA,Chat,Bug,Normal,Product Support,Resolved,36,27.27,36,False,4.8,True,False,6,0,1309,0.482
tkt_0000025,2025-07-02,2025-07-03,acct_02796,Starter,North America,Phone,Integration,Normal,Technical Support,Resolved,99,7.09,36,False,,True,False,8,1707.02,129,0.406
tkt_0000026,2025-07-03,2025-07-04,acct_04669,Free,EMEA,In App,How To,Normal,Customer Education,Resolved,76,11.33,36,False,5,False,False,8,0,441,0.809
tkt_0000027,2025-07-03,2025-07-04,acct_04631,Starter,North America,Chat,How To,Low,Customer Education,Resolved,29,22.51,72,False,5,False,False,6,3033.25,1373,0.626
